Username,Date,Retweets,Favorites,Message,Hashtags,Mentions
,2016-12-27 12:44:15,5,5,"Trump sent his own plane to rescue 200 stranded Marines . Hillary did what? (hint - wars injured dead soldiers Benghazi lied to families) https:// twitter.com/NickReeves45/s tatus/812393634762866689 ",,
,2016-12-17 13:53:14,6,6,"Trump sent his own plane to transport stranded Marines where's the liberal media? https:// youtu.be/tIXevCyvT9c",,
,2016-12-10 15:58:16,0,0,"Dumbing Down America!! FAKE NEWS! Trump sent his own plane to pick up 200 Marines ! 84% of idiots believed this LIE!! God help us!!",,
,2016-12-07 01:39:18,0,0,"PRESIDENT TRUMP WOULD HAVE SENT HIS OWN PLANE TO SAVE THEM! JUST LIKE HE DID FOR 200 MARINES IN AFGHANISTAN! NOT MANY PEOPLE KNOW THIS.... https:// twitter.com/roycan79/statu s/775225340927107072 ",,
,2016-11-17 12:33:18,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/8mZA5Q8AS",,
,2016-11-08 09:52:03,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/5gb4EOKE0",,
,2016-11-07 10:06:11,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/4vIVrJPRX",,
,2016-11-06 16:01:23,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// uconservative.com/2016/11/06/don ald-trump-sent-plane-transport-200-stranded-marines/ ",,
,2016-11-06 13:21:44,0,0,"#SundayMorning http:// ift.tt/2eCKFnG Donald Trump Sent His Own Plane To Transport 200 Stranded Marines - UConservative #VoteTrump",#SundayMorning #VoteTrump,
,2016-11-06 13:19:38,2,2,"#MAGA http:// ift.tt/2eCKFnG Donald Trump Sent His Own Plane To Transport 200 Stranded Marines - UConservative",#MAGA,
,2016-11-06 12:43:38,27,23,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// uconservative.com/2016/11/06/don ald-trump-sent-plane-transport-200-stranded-marines/ ",,
,2016-11-06 12:24:17,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines https:// goo.gl/2EO5L7 #trump #TrumpTrain #TrumpPence16 #maga #NoHillary",#trump #TrumpTrain #TrumpPence16 #maga #NoHillary,
,2016-10-27 20:14:49,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/7PzjhRdwc",,
,2016-10-26 22:47:20,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/5rOZcPp8y",,
,2016-10-26 14:52:18,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/30XkRj67U",,
,2016-10-25 16:39:07,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/5McKneheo",,
,2016-10-25 15:25:31,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/1Bq9cWKVM",,
,2016-10-24 21:59:04,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/1tTShsKEe",,
,2016-10-24 20:46:29,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/1e3puc99u",,
,2016-10-24 20:46:23,1,1,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines  American Military News http:// ln.is/americanmilita rynews.com/rCGSX ",,
,2016-10-24 20:06:30,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/4DJM1tCMh",,
,2016-10-24 13:57:07,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/5yIlVRoox",,
,2016-10-24 08:56:12,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/4nbbRr6la",,
,2016-10-24 07:25:39,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/7U8Im2es2",,
,2016-10-23 22:46:06,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/3LrRUCk6a",,
,2016-10-23 22:37:46,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/4TNyoDxJ8",,
,2016-10-23 17:20:22,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/958zdrVKB",,
,2016-10-23 14:26:43,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/4yjayf0FZ",,
,2016-10-23 12:25:24,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/3dIDcqCr5",,
,2016-10-22 22:20:31,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/4whXq6VdT",,
,2016-10-22 21:43:52,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/5lmuM1hLR",,
,2016-10-22 14:35:33,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/1F4oxIa6W",,
,2016-10-22 11:06:30,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/7yTwjbTu3",,
,2016-10-22 08:14:57,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines  American Military News http:// americanmilitarynews.com/2016/05/donald -trump-sent-his-own-plane-to-transport-200-stranded-marines/ ",,
,2016-10-21 22:45:20,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines ~ Yes It's True https:// goo.gl/2PwGA7",,
,2016-10-21 21:28:29,0,1,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/364Z5aDL6",,
,2016-10-21 20:26:21,20,15,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines  American Military News http:// americanmilitarynews.com/2016/05/donald -trump-sent-his-own-plane-to-transport-200-stranded-marines/ ",,
,2016-10-21 13:43:42,0,0,"Donald Trump Sent His Own Plane To Transport 200 Stranded Marines http:// fb.me/7jfVoSyBk",,
